episode,reward,length,loss
525,-108.95608931143506,110,-4.264039039611816
526,-119.82497564377896,117,-6.295544147491455
527,-96.95726167840188,107,-1.5385949611663818
528,-78.42085291135791,104,-2.744442939758301
529,-112.50816441304829,150,2.8077526092529297
530,-98.56937046327498,94,-2.9358253479003906
531,-74.53036623437819,131,4.810990333557129
532,-71.11964716721472,72,-4.482248306274414
533,-136.30314402516353,96,2.4326295852661133
534,-101.85523265936735,229,6.752662658691406
535,-56.205048294384525,130,5.989603042602539
536,-55.99021185779286,212,-0.6392593383789062
537,-127.53491600940811,147,-0.546550989151001
538,-19.903411930857985,129,-3.7070441246032715
539,-78.67434828975674,114,-4.678815841674805
540,-43.544494257795094,145,1.6132653951644897
541,-163.12056382613255,100,2.9494996070861816
542,-80.16667160296703,99,3.740309476852417
543,-22.677009151066144,187,-2.221770763397217
544,-249.5799560661696,165,0.2619941234588623
545,-126.69199460684663,179,-5.737190246582031
546,-24.76253381981043,97,-7.528631687164307
547,-173.12073516942178,170,-2.5523874759674072
548,-56.210098826596244,260,-8.42494010925293
549,-183.67024460287323,147,-9.839264869689941
550,21.649157461412415,94,-0.42123669385910034
551,-54.72444740912802,168,-5.40379524230957
552,-42.42332892040531,80,1.4469623565673828
553,-157.38092364782295,131,-0.9550515413284302
554,-69.9998789367349,201,6.992748260498047
555,15.158771688903144,109,-8.461338996887207
556,-94.79841183026444,106,2.349977493286133
557,-37.47910711900917,167,3.9191112518310547
558,-79.5019835008218,148,1.3686485290527344
559,-47.37994888627029,99,-8.5497465133667
560,-20.353787876619023,122,-6.1989288330078125
561,-58.55486721929546,88,-1.6080162525177002
562,-48.965559551210276,171,2.465813636779785
563,-10.384280128861533,109,-0.00446629524230957
564,-55.3333153134162,80,11.986400604248047
565,-55.387300444322946,83,-6.258076190948486
566,-87.40578199288919,115,-3.4307632446289062
567,-267.90150476835095,214,4.7260637283325195
568,-35.249479167703754,179,-6.107736587524414
569,-174.00871798930626,163,12.36838150024414
570,-103.16419136116718,212,1.9666345119476318
571,-206.63688993220887,232,2.955822467803955
572,-22.05777802213902,240,-1.0830849409103394
573,-21.088096482681408,125,-6.032339572906494
574,-332.39352280354694,111,2.3716228008270264
575,-107.81156539980022,151,-3.02036190032959
576,-112.27736287665746,170,4.25791072845459
577,2.6322567857708066,102,9.431440353393555
578,-113.00342500629327,157,-0.38133764266967773
579,-35.23430466194259,132,-4.15848445892334
580,-25.054628157780343,102,4.506306171417236
581,-3.304553170304075,90,-1.5909829139709473
582,-3.412458911146487,216,-3.443291664123535
583,-181.80596036171528,190,7.321201801300049
584,-117.46863626708844,143,-9.378541946411133
585,-129.7689553745498,154,9.112702369689941
586,34.38134754344743,1000,-47.33420181274414
587,28.876989780957672,113,-0.6879386901855469
588,-50.13980740642651,127,5.697664737701416
589,34.57718920358039,143,4.1096649169921875
590,-1.1119826046971042,150,8.822072982788086
591,-25.239251744114043,171,10.787569046020508
592,-138.18472958213914,190,8.816919326782227
593,-222.04383820592062,146,18.32966423034668
594,-62.38546216599246,141,4.279447555541992
595,-35.14049503457383,152,-2.225477695465088
596,-260.6189914675114,454,9.203657150268555
597,-15.036329264239797,158,-2.91776180267334
598,-54.49050312660307,127,-5.015586853027344
599,-107.10259838338955,131,-1.5899064540863037
600,-108.3983365951378,156,1.69443941116333
601,-37.139001904333526,149,1.3608191013336182
602,-50.350058848722995,1000,-19.001020431518555
603,-94.19623690041904,102,-5.065126895904541
604,-6.902527867609962,145,-9.89167308807373
605,-14.279577178624095,212,-1.3518948554992676
606,-20.434330808507184,139,-2.337806463241577
607,-115.27185584748503,154,0.7612066268920898
608,11.175995215232362,204,2.8711185455322266
609,-205.44622619625449,153,8.9453125
610,-46.22833298511431,142,2.558534622192383
611,-66.32098614010253,109,-2.678722858428955
612,-93.86251725610848,119,-5.075669288635254
613,-53.41077699901479,135,-2.007941722869873
614,-54.88671675506963,129,-0.7515032291412354
615,-89.75171589063359,148,-4.995598793029785
616,12.133647854785465,128,6.563936233520508
617,-69.59403087837082,142,2.8303325176239014
618,-178.71681037934107,119,-1.093132734298706
619,1.556041418660783,161,1.1310608386993408
620,-8.141318933261516,127,-5.89813232421875
621,5.301213595088598,176,3.105024814605713
622,-98.40164690104913,139,-1.1185433864593506
623,-53.401224408285046,180,-2.00057315826416
624,39.33450027877336,134,-8.288810729980469
625,-113.99835854536289,78,-3.5955357551574707
626,-58.47678087079787,120,3.2973108291625977
